Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14
Couverture vaccinale schéma complet à 16 ans, chez les jeunes filles,  par région et par année de naissance (%);;;;;;;;;;;;;;
Données régionales 2023;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;"Année de
naissance";1995;1996;1997;1998;1999;2000;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0
;Région;;;;;;;;;;;;;
;Auvergne - Rhône-Alpes;24.1;20.9;16.1;14.7;12.5;18.1;20.3;22.485680852374205;26.77078435781598;32.2;37.2;41.58207165922231;44.931496230839294
;Bourgogne - Franche - Comté;27.6;24.9;19.6;17.6;14.9;20.9;23.3;25.322340689313165;30.40532216336085;35.4;40.1;44.17566507812028;47.92068466730955
;Bretagne;31.1;27.7;21.1;20.5;16.6;23.8;26.4;30.3350627939679;36.24590795301367;42.6;48.6;53.28138202985635;57.61152989143318
;Centre;28.6;24.7;19.8;18;14.8;21.4;23.5;26.16956332149754;30.759509667635538;35.6;38.9;44.40568153501122;47.27704221833625
;Corse;19.7;15.4;13.2;11.9;8.7;12.6;14.8;15.16626115166261;16.160949868073878;20.9;29.6;30.284552845528456;37.76634827332844
;Grand-Est;30;27.1;21.7;20.9;17.5;24.5;26.1;29.12458955455052;33.069935291189644;37.4;41.6;44.84500847029453;47.194322487520296
;Hauts-de-France;35.2;30.6;23.7;21.8;18.5;25.7;28.4;30.61671763506626;34.5181223387683;38.800000000000004;43.4;47.05897241204758;50.1
;Ile de France;21.4;19.1;13.2;12.2;10.1;15;16.9;18.829375305607314;22.467798022948386;26.3;30.2;33.56208949726843;36.26874027993779
;Normandie;34.4;31.5;24.4;22.5;18.7;26.5;28.4;31.11293594821756;35.83231184113753;41.4;47.3;51.24993932333381;54.016633815681935
;Nouvelle Aquitaine;30.5;26.1;19.1;17.4;14.2;20.2;22.7;25.099094835236347;30.01762632197415;35.4;40.9;46.02515158320234;49.977612357978394
;Occitanie;24.9;21;15.5;13.5;10.7;15.6;17.4;19.320382651564056;23.584438292292003;29.099999999999998;35.5;40.118245565791284;43.82551990574568
;Paca;22.4;19.8;14;12.6;9.8;14.4;15.5;17.17450602089016;20.897662476241287;26.4;30.4;34.3;36.96213559005631
;Pays de la Loire;29.1;26.4;20.1;18.6;15.6;23.6;26.0;29.7535356877016;35.29723558672429;41.699999999999996;48.1;52.8;57.30407523510972
;Guadeloupe;-;-;-;-;-;-;12.1;11.9;14.0;15.0;17.0;19.286703601108034;20.304209409267777
;Martinique;-;-;-;-;-;-;6.3;8.2;7.6;9.1;11.2;17.889726299087663;14.07849829351536
;Guyane;-;-;-;-;-;-;12.1;14.1;14.6;16.8;16.6;12.1251629726206;15.723981900452488
;La Réunion;-;-;-;-;-;-;8.6;8.1;8.5;10.0;12.2;14.121154627998372;16.4
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Source : SNDS-DCIR, Santé publique France;;;;;;;;;;;;;
